dataset,model,regime,seq_len,stride,block,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,diag_c4,final_c0,final_c1,final_c2,final_c3,final_c4,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id
smd,vgru,cumulative,48,48,B2,,,,,,,,-0.0007211244857335,0.0037727124132666,0.0007211244857335,0.6971954782535336,0.6959384038593717,0.7657877596137813,5,10,10,0.7485,0.7399,0.6319,0.7658,0.5999,0.7497,0.7357,0.6305,0.7639,0.5999,0.0003857939063745,0.0005828354021062,0.0002649257818269,0.0003179096202792,190.7,66,5,190.8,r-cumulative_sl48_st48
smd,vgru,experts,48,48,B2,,,,,,,,0.0014270089887715,0.0035427954994789,-0.0014270089887715,0.6949836127230797,0.69627596571644,0.7686668835241466,5,10,10,0.7485,0.7364,0.63,0.7619,0.5981,0.7494,0.7354,0.6316,0.7669,0.5981,0.0001848761365829,0.0002793003093743,0.0001269549458339,0.0001523453635404,91.4,75,5,91.4,r-experts_sl48_st48
smd,vgru,random-buffer,48,48,B2,500.0,,,0.5,,,,-0.0130357658323749,0.0044709365765065,0.0130357658323749,0.7058941200620925,0.6943057460548979,0.7826286680870286,5,10,10,0.7485,0.736,0.6735,0.7826,0.5888,0.7443,0.7374,0.6234,0.7777,0.5888,0.0001789696088505,0.000270377064582,0.0001228989295137,0.0001474781350682,88.5,41,5,88.5,r-random-buffer_sl48_st48_bu500_re0.5
smd,vgru,reservoir,48,48,B2,500.0,,,0.5,,,,0.0014663944433959,0.0040093784520735,-0.0014663944433959,0.6961042984820844,0.6965797773903072,0.7659167359004738,5,10,10,0.7485,0.734,0.6315,0.7659,0.6006,0.751,0.7384,0.6275,0.7654,0.6006,0.0001981356781959,0.0002993320676267,0.0001360603108213,0.0001632717568054,98.0,47,5,98.0,r-reservoir_sl48_st48_bu500_re0.5
smd,vgru,ewc,48,48,B2,,,,,1000.0,,,0.0034785478166171,0.0031727967165291,-0.0034785478166171,0.6934170533075162,0.6973598139562016,0.7704880515429073,5,10,10,0.7485,0.7344,0.6287,0.7577,0.5977,0.7505,0.7376,0.634,0.7669,0.5977,0.0001424636374816,0.000215225927795,9.783012459778951e-05,0.0001173958031972,70.4,40,5,70.4,r-ewc_sl48_st48_la1000
smd,vgru,lwf,48,48,B2,,,,,,1.0,2.0,0.0013999780065601,0.0035533148058021,-0.0013999780065601,0.6951396595151123,0.6968477123173346,0.7686133848167062,5,10,10,0.7485,0.7308,0.6382,0.7604,0.5978,0.7502,0.7367,0.6332,0.7663,0.5978,0.0001452937987744,0.0002195015738533,9.977367482626709e-05,0.000119727899027,71.8,40,5,71.8,r-lwf_sl48_st48_al1.0_te2.0
smd,vgru,naive,8,4,B3,,,,,,,,-0.0004885402682435,0.0001235251103289,0.0004885402682435,0.6969406690758377,0.696561788433568,0.7665790664700292,5,10,10,0.7494,0.7364,0.6355,0.7656,0.5978,0.7497,0.7358,0.6338,0.7657,0.5978,0.0002367542188808,0.0003576747534933,0.0001625797026609,0.0001950950508324,117.1,34,5,117.1,r-naive_sl8_st4
smd,vgru,cumulative,8,4,B3,,,,,,,,-0.0001112967029141,-0.00023718193155,0.0001112967029141,0.696545953144669,0.6964386815691392,0.7657349673284584,5,10,10,0.7494,0.7363,0.6339,0.7656,0.5976,0.7497,0.7358,0.6335,0.7656,0.5976,2.378670552673303e-06,0.0010006107593329,0.000454824141552,0.0005457866177808,327.5,43,5,327.5,r-cumulative_sl8_st4
smd,vgru,experts,8,4,B3,,,,,,,,-0.0010959375782441,-0.000138030739782,0.0010959375782441,0.6965634814567043,0.6959217193150498,0.7671718304571504,5,10,10,0.7494,0.7367,0.6374,0.7645,0.5948,0.7494,0.736,0.633,0.7664,0.5948,0.0003038604566694,0.0004590550252889,0.0002086619419543,0.0002503930833345,150.2,40,5,150.2,r-experts_sl8_st4
smd,vgru,random-buffer,8,4,B3,500.0,,,0.5,,,,-0.0353478562329856,-0.0027398259320888,0.0353478562329856,0.7176318629825664,0.695968636261328,0.7825414371012437,5,10,10,0.7494,0.7241,0.7246,0.7825,0.6075,0.746,0.7443,0.6169,0.7652,0.6075,0.0004422582903299,0.000668138568858,0.0003037001373304,0.0003644384315276,218.7,38,5,218.7,r-random-buffer_sl8_st4_bu500_re0.5
