dataset,model,regime,seq_len,stride,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,block,seed,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,diag_c4,final_c0,final_c1,final_c2,final_c3,final_c4,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id
smd,lstm,random-buffer,16,16,500.0,,,0.5,,,,MULTISEED,123,-0.014076493503334763,0.09107083520321833,0.014076493503334763,0.7778164591719461,0.7778406738750508,0.8811644810672807,5,10,10,0.8153,0.7218,0.6902,0.861,0.8007,0.7738,0.6668,0.7667,0.8812,0.8007,0.0006682295089576,0.0010095229813569,0.0004588752196189,0.0005506477617379,330.4,189,5,2148.8,r-random-buffer_sl16_st16_sp0_bu500_re0.5_seed123
smd,lstm,random-buffer,16,16,500.0,,,0.5,,,,MULTISEED,7,-0.033059270612866266,0.0415357496805521,0.033059270612866266,0.7591987980746968,0.7535707471423061,0.8931877032207223,5,10,10,0.8224,0.716,0.6351,0.8643,0.7583,0.7251,0.7508,0.6405,0.8932,0.7583,0.000878652910575,0.0013274186398103,0.0006033736453669,0.0007240449944433,434.4,224,5,1385.3,r-random-buffer_sl16_st16_sp0_bu500_re0.5_seed7
smd,lstm,reservoir,16,16,500.0,,,0.5,,,,MULTISEED,123,-0.010297600962672338,0.0472412122573885,0.010297600962672338,0.7682649351605065,0.7614013751566311,0.8197899053667463,5,10,10,0.8153,0.725,0.6903,0.8198,0.791,0.8001,0.7103,0.6879,0.8178,0.791,0.0008149745756415,0.0012312170478898,0.0005596456237861,0.0006715714241036,402.9,197,5,1336.5,r-reservoir_sl16_st16_sp0_bu500_re0.5_seed123
smd,lstm,reservoir,16,16,500.0,,,0.5,,,,MULTISEED,7,-0.017150267351939908,0.09608159376794319,0.017150267351939908,0.7828086020791252,0.7712851507942847,0.8484178161261092,5,10,10,0.8224,0.7382,0.6884,0.8384,0.8267,0.8008,0.715,0.6655,0.8484,0.8267,0.0007458275078708,0.0011267536067035,0.0005121620137186,0.0006145915929848,368.8,199,5,663.8,r-reservoir_sl16_st16_sp0_bu500_re0.5_seed7
smd,lstm,strb,16,16,500.0,0.35,0.9,0.5,,,,MULTISEED,123,-0.015857322799447605,0.03977420170121909,0.015857322799447605,0.7576810958463447,0.7442679638234199,0.830642149439416,5,10,10,0.8153,0.7222,0.6682,0.8283,0.7544,0.7757,0.6299,0.7306,0.8306,0.7544,0.0008101911968184,0.0012239905923297,0.0005563608595506,0.000667629732779,400.6,195,5,1610.2,r-strb_sl16_st16_sp0_bu500_no0.35_re0.9_re0.5_seed123
smd,lstm,strb,16,16,500.0,0.35,0.9,0.5,,,,MULTISEED,7,-0.038246445250990434,0.07280369457159648,0.038246445250990434,0.7659018708995592,0.7362899276445,0.8223819648955242,5,10,10,0.8224,0.7346,0.6772,0.8203,0.775,0.7964,0.6627,0.6251,0.8222,0.775,0.0008123333267644,0.0012272267999208,0.0005578317868659,0.0006693950130549,401.6,202,5,1346.2,r-strb_sl16_st16_sp0_bu500_no0.35_re0.9_re0.5_seed7
smd,tcn,cumulative,24,12,,,,,,,,MULTISEED,123,-0.010120326503127807,0.03112115889752003,0.010120326503127807,0.7756575556238302,0.7711348274549893,0.901511216986141,5,10,10,0.8024,0.7015,0.708,0.8972,0.7692,0.7975,0.6752,0.7123,0.9015,0.7692,0.0008252396621543,0.0012467249543821,0.0005666945666055,0.0006800303877765,408.0,169,5,2300.1,r-cumulative_sl24_st12_sp0_seed123
smd,tcn,cumulative,24,12,,,,,,,,MULTISEED,7,-0.006067851607213415,0.0401203803051576,0.006067851607213415,0.7788670329439491,0.7716038918735391,0.9081771917382635,5,10,10,0.8059,0.6931,0.6961,0.8942,0.805,0.7981,0.6683,0.6784,0.9082,0.805,0.0009650357611144,0.0014579209173147,0.0006626930498815,0.0007952278674331,477.1,184,5,1487.3,r-cumulative_sl24_st12_sp0_seed7
smd,tcn,derpp,24,12,500.0,,,0.5,,1.0,0.5,MULTISEED,123,-0.0060796293738721195,0.045996100308549746,0.0060796293738721195,0.7712107917842712,0.7684681336734984,0.8832302952419411,5,10,10,0.8024,0.6809,0.68,0.872,0.8209,0.7802,0.6746,0.6834,0.8832,0.8209,0.0010565277169692,0.0015961417393624,0.0007255207608195,0.0008706209785429,522.4,215,5,2605.1,r-derpp_sl24_st12_sp0_bu500_re0.5_al1.0_te0.5_seed123
smd,tcn,derpp,24,12,500.0,,,0.5,,1.0,0.5,MULTISEED,7,-0.006860446920954544,0.05978373186558371,0.006860446920954544,0.7773511922276922,0.7705733098307976,0.8930675047202558,5,10,10,0.8059,0.673,0.682,0.8931,0.8328,0.7867,0.6609,0.6853,0.8872,0.8328,0.0009613226706646,0.0014523113923077,0.0006601431666097,0.000792168225698,475.3,189,5,2292.9,r-derpp_sl24_st12_sp0_bu500_re0.5_al1.0_te0.5_seed7
smd,tcn,ewc,24,12,,,,,1000.0,,,MULTISEED,123,-0.028998240542985866,0.01264231472060221,0.028998240542985866,0.7714068152541144,0.7581205866245924,0.8927939186369618,5,10,10,0.8024,0.6915,0.7039,0.8928,0.7665,0.7565,0.7149,0.7076,0.8451,0.7665,0.0003314326798965,0.0005007095655655,0.0002275958378508,0.0002731137277147,163.9,152,5,1088.7,r-ewc_sl24_st12_sp0_la1000_seed123
smd,tcn,ewc,24,12,,,,,1000.0,,,MULTISEED,7,-0.057576778745436,0.016872265284534466,0.057576778745436,0.7786961236888416,0.7361908552216596,0.8973882445543631,5,10,10,0.8059,0.6886,0.7161,0.8974,0.7854,0.7351,0.6738,0.6324,0.8541,0.7854,0.0003537379647234,0.0005344071160876,0.0002429129528935,0.000291494163194,174.9,166,5,175.0,r-ewc_sl24_st12_sp0_la1000_seed7
smd,tcn,experts,16,16,,,,,,,,MULTISEED,123,-0.024799030552444302,0.01648127616640227,0.024799030552444302,0.7688149289641057,0.7540671742201493,0.8892296157649189,5,10,10,0.8036,0.672,0.7025,0.8892,0.7767,0.7321,0.7097,0.7703,0.7815,0.7767,0.0001529666387266,0.000231093262278,0.0001050426872097,0.0001260505750682,75.6,89,5,1000.6,r-experts_sl16_st16_sp0_seed123
smd,tcn,experts,16,16,,,,,,,,MULTISEED,7,-0.02874048241367607,0.017002311562015794,0.02874048241367607,0.7726456505484134,0.7542856845539253,0.887387843821964,5,10,10,0.8077,0.6921,0.7154,0.8874,0.7606,0.7308,0.7181,0.7863,0.7756,0.7606,0.0001538192448902,0.0002323813309799,0.0001056281704261,0.0001267531605538,76.1,91,5,76.1,r-experts_sl16_st16_sp0_seed7
smd,tcn,gdumb,24,12,4000.0,,,0.5,,,,MULTISEED,123,0.0035786915856482414,0.049084477486705115,-0.0035786915856482414,0.7793565799099029,0.7822347703481045,0.8980731198680497,5,10,10,0.8024,0.6976,0.6908,0.8981,0.8079,0.7815,0.6657,0.765,0.891,0.8079,0.0006201737545334,0.0009369230919067,0.0004258751244788,0.0005110479674278,306.6,198,5,2156.4,r-gdumb_sl24_st12_sp0_bu4000_re0.5_seed123
smd,tcn,gdumb,24,12,4000.0,,,0.5,,,,MULTISEED,7,-0.019920417492652442,0.054390098602545636,0.019920417492652442,0.7767024121242613,0.7533636469962481,0.8983244442040096,5,10,10,0.8059,0.6865,0.69,0.8983,0.8028,0.7908,0.6482,0.6468,0.8783,0.8028,0.0006178621115102,0.0009334307936388,0.0004242877390565,0.0005091430545823,305.5,190,5,1334.7,r-gdumb_sl24_st12_sp0_bu4000_re0.5_seed7
smd,tcn,lwf,48,24,,,,,,1.0,2.0,MULTISEED,123,-0.00757514869043735,0.007889408238352014,0.00757514869043735,0.7722348992893424,0.773311359651131,0.8979704463934856,5,10,10,0.8155,0.6691,0.6992,0.898,0.7793,0.7757,0.6988,0.7438,0.869,0.7793,0.0002514855562519,0.0003799300167268,0.0001726959250589,0.0002072340916679,124.3,124,5,242.1,r-lwf_sl48_st24_sp0_al1.0_te2.0_seed123
smd,tcn,lwf,48,24,,,,,,1.0,2.0,MULTISEED,7,-0.031322785462417,0.03179313539797681,0.031322785462417,0.770579141902753,0.7340508477237953,0.8962892468047478,5,10,10,0.8062,0.6734,0.6901,0.8963,0.7869,0.7313,0.684,0.6954,0.7726,0.7869,0.0002653136170511,0.0004008206612991,0.0001821916803239,0.0002186289809752,131.2,121,5,131.2,r-lwf_sl48_st24_sp0_al1.0_te2.0_seed7
smd,tcn,naive,12,6,,,,,,,,MULTISEED,123,-0.0553653704412012,0.024077954776678335,0.0553653704412012,0.7732801456404358,0.7350117323571551,0.8784912747284239,5,10,10,0.8038,0.694,0.7083,0.8785,0.7818,0.7322,0.6245,0.71,0.8266,0.7818,0.0004599167829745,0.0006948160111169,0.0003158262173632,0.0003789897937537,227.4,163,5,1368.1,r-naive_sl12_st6_sp0_seed123
smd,tcn,naive,12,6,,,,,,,,MULTISEED,7,-0.016749579702218388,0.004459790456729873,0.016749579702218388,0.7592059353429049,0.763538710682833,0.8800511792459477,5,10,10,0.7985,0.6723,0.6916,0.8707,0.763,0.751,0.6685,0.7551,0.8801,0.763,0.0004274038177983,0.0006456972800559,0.0002934995962384,0.0003521976838175,211.3,147,5,439.4,r-naive_sl12_st6_sp0_seed7
smd,tcn,random-buffer,24,12,1000.0,,,0.5,,,,MULTISEED,123,-0.026124469738059743,0.020176186076290292,0.026124469738059743,0.7738064535174553,0.756694082866817,0.8990719693919825,5,10,10,0.8024,0.6816,0.6984,0.8991,0.7876,0.7325,0.6006,0.7652,0.8975,0.7876,0.0006604340540949,0.0009977460533277,0.0004535221354156,0.000544223917912,326.5,185,5,599.0,r-random-buffer_sl24_st12_sp0_bu1000_re0.5_seed123
smd,tcn,random-buffer,24,12,1000.0,,,0.5,,,,MULTISEED,7,-0.011895907985562093,0.04323104281593078,0.011895907985562093,0.7784356864674649,0.7590067396312488,0.9053298193219709,5,10,10,0.8059,0.6855,0.7159,0.9053,0.7796,0.6926,0.6342,0.7916,0.897,0.7796,0.0006195235483624,0.000935940797555,0.0004254286504027,0.0005105121471523,306.3,197,5,735.9,r-random-buffer_sl24_st12_sp0_bu1000_re0.5_seed7
