model,regime,run_id,n_concepts,fwt_lopez_paz
lstm,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.5,5,0.09556502560652336
lstm,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te1.0,5,0.0835410335433324
lstm,derpp,r-derpp_sl24_st12_bu500_re0.5_al1.0_te0.5,5,0.08410948186858724
lstm,derpp,r-derpp_sl24_st12_bu500_re0.7_al0.5_te0.5,5,0.09111183937872448
lstm,derpp,r-derpp_sl48_st48_bu500_re0.5_al0.5_te0.5,5,0.12150045425659964
lstm,derpp,r-derpp_sl6_st6_bu500_re0.5_al0.5_te0.5,5,0.09513303489581315
lstm,derpp,r-derpp_sl8_st8_bu500_re0.5_al0.5_te0.5,5,0.12897710288456984
tcn,derpp,r-derpp_sl10_st10_bu500_re0.5_al0.5_te0.5,5,0.17809753904236791
tcn,derpp,r-derpp_sl12_st12_bu500_re0.5_al0.5_te0.5,5,0.16685898054304218
tcn,derpp,r-derpp_sl16_st16_bu500_re0.5_al0.5_te0.5,5,0.1837802266601075
tcn,derpp,r-derpp_sl24_st12_bu1000_re0.5_al0.5_te0.5,5,0.1786832150422843
tcn,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,5,0.1330293081513891
tcn,derpp,r-derpp_sl24_st12_bu2000_re0.5_al0.5_te0.5,5,0.18289356691524322
tcn,derpp,r-derpp_sl24_st12_bu250_re0.5_al0.5_te0.5,5,0.17187347492681243
tcn,derpp,r-derpp_sl24_st12_bu4000_re0.5_al0.5_te0.5,5,0.1842264513316806
tcn,derpp,r-derpp_sl24_st12_bu500_re0.3_al0.5_te0.5,5,0.18258144689073394
tcn,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.1_te0.5,5,0.17707406058640374
tcn,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.1,5,0.18044340744946963
tcn,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.5,5,0.16671547258345812
tcn,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te1.0,5,0.20004087753079955
tcn,derpp,r-derpp_sl24_st12_bu500_re0.5_al1.0_te0.5,5,0.17632020487554714
tcn,derpp,r-derpp_sl24_st12_bu500_re0.7_al0.5_te0.5,5,0.1714425838056313
tcn,derpp,r-derpp_sl48_st48_bu500_re0.5_al0.5_te0.5,5,0.18806173412063748
tcn,derpp,r-derpp_sl6_st6_bu500_re0.5_al0.5_te0.5,5,0.14561647273362396
tcn,derpp,r-derpp_sl8_st8_bu500_re0.5_al0.5_te0.5,5,0.170938967405768
vgru,derpp,r-derpp_sl10_st10_bu500_re0.5_al0.5_te0.5,5,0.18302871455751066
vgru,derpp,r-derpp_sl12_st12_bu500_re0.5_al0.5_te0.5,5,0.18466294359137223
vgru,derpp,r-derpp_sl16_st16_bu500_re0.5_al0.5_te0.5,5,0.18245961006652595
vgru,derpp,r-derpp_sl24_st12_bu1000_re0.5_al0.5_te0.5,5,0.1831684738128336
vgru,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,5,0.18029177133584953
vgru,derpp,r-derpp_sl24_st12_bu2000_re0.5_al0.5_te0.5,5,0.18228177973482262
vgru,derpp,r-derpp_sl24_st12_bu250_re0.5_al0.5_te0.5,5,0.18234349968222494
vgru,derpp,r-derpp_sl24_st12_bu4000_re0.5_al0.5_te0.5,5,0.18182575335369838
vgru,derpp,r-derpp_sl24_st12_bu500_re0.3_al0.5_te0.5,5,0.18364729981898623
vgru,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.1_te0.5,5,0.18284145256816745
vgru,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.1,5,0.18319432735953364
vgru,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.5,5,0.18305995564649322
vgru,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te1.0,5,0.18297257290946758
vgru,derpp,r-derpp_sl24_st12_bu500_re0.5_al1.0_te0.5,5,0.18316002167406686
vgru,derpp,r-derpp_sl24_st12_bu500_re0.7_al0.5_te0.5,5,0.18333365105748503
vgru,derpp,r-derpp_sl48_st48_bu500_re0.5_al0.5_te0.5,5,0.18350080277281602
vgru,derpp,r-derpp_sl6_st6_bu500_re0.5_al0.5_te0.5,5,0.18396387077619925
vgru,derpp,r-derpp_sl8_st8_bu500_re0.5_al0.5_te0.5,5,0.1827688022785727
vgru-kl,derpp,r-derpp_sl10_st10_bu500_re0.5_al0.5_te0.5,5,0.17597495124907353
vgru-kl,derpp,r-derpp_sl12_st12_bu500_re0.5_al0.5_te0.5,5,0.1860026149266775
vgru-kl,derpp,r-derpp_sl16_st16_bu500_re0.5_al0.5_te0.5,5,0.17273077473034867
vgru-kl,derpp,r-derpp_sl24_st12_bu1000_re0.5_al0.5_te0.5,5,0.18077117282900573
vgru-kl,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,5,0.16757329700808007
vgru-kl,derpp,r-derpp_sl24_st12_bu2000_re0.5_al0.5_te0.5,5,0.18092902505994352
vgru-kl,derpp,r-derpp_sl24_st12_bu250_re0.5_al0.5_te0.5,5,0.18796806958809065
vgru-kl,derpp,r-derpp_sl24_st12_bu4000_re0.5_al0.5_te0.5,5,0.17144129579971892
vgru-kl,derpp,r-derpp_sl24_st12_bu500_re0.3_al0.5_te0.5,5,0.1881835515889784
vgru-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.1_te0.5,5,0.18681808012603235
vgru-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.1,5,0.18727191046112177
vgru-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.5,5,0.18527683575488024
vgru-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te1.0,5,0.1748722503710285
vgru-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al1.0_te0.5,5,0.18803945116081772
vgru-kl,derpp,r-derpp_sl24_st12_bu500_re0.7_al0.5_te0.5,5,0.18134946116188536
vgru-kl,derpp,r-derpp_sl48_st48_bu500_re0.5_al0.5_te0.5,5,0.16510112094787693
vgru-kl,derpp,r-derpp_sl6_st6_bu500_re0.5_al0.5_te0.5,5,0.1757267568610198
vgru-kl,derpp,r-derpp_sl8_st8_bu500_re0.5_al0.5_te0.5,5,0.16643931630354
vlstm,derpp,r-derpp_sl10_st10_bu500_re0.5_al0.5_te0.5,5,0.18267563183432184
vlstm,derpp,r-derpp_sl12_st12_bu500_re0.5_al0.5_te0.5,5,0.18367650884528414
vlstm,derpp,r-derpp_sl16_st16_bu500_re0.5_al0.5_te0.5,5,0.18268238469912595
vlstm,derpp,r-derpp_sl24_st12_bu1000_re0.5_al0.5_te0.5,5,0.18336195598812216
vlstm,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,5,0.18151278735370582
vlstm,derpp,r-derpp_sl24_st12_bu2000_re0.5_al0.5_te0.5,5,0.18312295008415466
vlstm,derpp,r-derpp_sl24_st12_bu250_re0.5_al0.5_te0.5,5,0.18277917689392703
vlstm,derpp,r-derpp_sl24_st12_bu4000_re0.5_al0.5_te0.5,5,0.1828280268413012
vlstm,derpp,r-derpp_sl24_st12_bu500_re0.3_al0.5_te0.5,5,0.1837983440684123
