dataset,model,regime,seq_len,stride,split_size,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,block,seed,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,final_c0,final_c1,final_c2,final_c3,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id
yahoo-a1,lstm,derpp,6,6,336,50.0,,,0.5,,0.5,0.5,MULTISEED,7,-0.11650754424789829,-0.05970910353095712,0.11650754424789829,0.7722497215664309,0.6990034691464649,0.8823973766582203,4,6,6,0.8548,0.8633,0.766,0.6049,0.6006,0.8573,0.7332,0.6049,0.000168820839758,0.0002550448838058,0.0001159297767929,0.0001391151070129,83.5,52,4,83.5,r-derpp_sl6_st6_sp336_bu50_re0.5_al0.5_te0.5_seed7
yahoo-a1,lstm,ewc,12,12,336,,,,,100.0,,,MULTISEED,123,-0.22088890086684318,-0.1092216118360649,0.22088890086684318,0.714464114481455,0.5722228001891083,0.8678969897065794,4,6,6,0.8169,0.8343,0.5656,0.6411,0.3011,0.822,0.5247,0.6411,7.138113260136698e-05,0.0001078385387511,4.9017666667027194e-05,5.882087208408242e-05,35.3,50,4,35.3,r-ewc_sl12_st12_sp336_la100_seed123
yahoo-a1,lstm,ewc,12,12,336,,,,,100.0,,,MULTISEED,7,-0.18560362167725075,-0.09206319869373014,0.18560362167725075,0.7366961243705705,0.6026647883407172,0.8925848505443863,4,6,6,0.8574,0.8282,0.6161,0.6451,0.3717,0.8331,0.5608,0.6451,6.967129969732405e-05,0.0001052554208436,4.784355549685036e-05,5.74118653467546e-05,34.4,44,4,34.5,r-ewc_sl12_st12_sp336_la100_seed7
yahoo-a1,lstm,experts,12,12,336,,,,,,,,MULTISEED,123,-0.25747382408538416,-0.13706496856991826,0.25747382408538416,0.7022147114506255,0.5575557874599024,0.8678969897065794,4,6,6,0.8169,0.8369,0.5242,0.631,0.262,0.8203,0.517,0.631,0.0001282747988377,0.0001937902406579,8.808670642320067e-05,0.0001057035342347,63.4,127,4,63.4,r-experts_sl12_st12_sp336_seed123
yahoo-a1,lstm,experts,12,12,336,,,,,,,,MULTISEED,7,-0.2660512620860516,-0.12943994280455118,0.26605126208605157,0.718789998109448,0.562768180099807,0.8925848505443863,4,6,6,0.8574,0.8339,0.5269,0.6569,0.256,0.816,0.5221,0.6569,0.000116271324266,0.0001756560767608,7.984386203849377e-05,9.58122147223912e-05,57.5,112,4,57.5,r-experts_sl12_st12_sp336_seed7
yahoo-a1,lstm,gdumb,6,6,336,50.0,,,0.5,,,,MULTISEED,123,-0.09974788209624043,-0.04451679176327402,0.09974788209624043,0.7974850943803485,0.7295270216520343,0.9011560590251901,4,6,6,0.8868,0.8849,0.7911,0.6271,0.6527,0.8622,0.7761,0.6271,0.0001547769843879,0.0002338282291191,0.0001062858168986,0.0001275424122205,76.5,77,4,76.5,r-gdumb_sl6_st6_sp336_bu50_re0.5_seed123
yahoo-a1,lstm,gdumb,6,6,336,50.0,,,0.5,,,,MULTISEED,7,-0.15957333665788836,-0.07824237361316577,0.15957333665788836,0.755861781563504,0.6671429856084055,0.8843697809215051,4,6,6,0.8548,0.8844,0.6786,0.6056,0.5169,0.8642,0.6819,0.6056,0.000151164212332,0.0002283702594127,0.0001038048935782,0.0001245653658344,74.7,73,4,74.8,r-gdumb_sl6_st6_sp336_bu50_re0.5_seed7
yahoo-a1,lstm,lwf,12,12,336,,,,,,0.5,2.0,MULTISEED,123,-0.2049353292583905,-0.08955163404089801,0.2049353292583905,0.7248180343446381,0.5740997443634492,0.8678969897065794,4,6,6,0.8169,0.8371,0.5941,0.6512,0.3038,0.8164,0.525,0.6512,6.587944956038833e-05,9.952691019900764e-05,4.523965804449593e-05,5.428725215451171e-05,32.6,46,4,32.6,r-lwf_sl12_st12_sp336_al0.5_te2.0_seed123
yahoo-a1,lstm,lwf,12,12,336,,,,,,0.5,2.0,MULTISEED,7,-0.18921230499118846,-0.08644794514985295,0.18921230499118846,0.7399410164863105,0.5922645126789123,0.8925848505443863,4,6,6,0.8574,0.8291,0.627,0.6463,0.3526,0.8265,0.5437,0.6463,6.747390180532994e-05,0.0001019357175958,4.633457349652114e-05,5.5601144099297624e-05,33.4,47,4,33.4,r-lwf_sl12_st12_sp336_al0.5_te2.0_seed7
yahoo-a1,lstm,naive,12,12,336,,,,,,,,MULTISEED,123,-0.20611949738623667,-0.09851602104192027,0.20611949738623667,0.7152805334965144,0.5721823927818446,0.8678969897065794,4,6,6,0.8169,0.8432,0.5611,0.64,0.3015,0.8226,0.5247,0.64,6.435502697768684e-05,9.722389961670464e-05,4.419282725624119e-05,5.303107236046344e-05,31.8,49,4,31.8,r-naive_sl12_st12_sp336_seed123
